type_id,type,product_id,product_name,product_finalprice,product_price,rating_html,soon_release,product_url,image_src,discount,discount_label_html,episode,series_id,subscribes
simple,simple,428202,Giáo Trình Chuẩn HSK 1 (Tái Bản 2023),148.500,198.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-hsk-1-tai-ban-2023.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043775662.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 1,,
simple,simple,433970,Giáo Trình Chuẩn HSK 1 - Sách Bài Tập (Tái Bản 2023),118.500,158.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-hsk-1-sach-bai-tap-tai-ban-2023-433970.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786045893104.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 1,,
bundle,bundle,475755,Combo Sách Giáo Trình Chuẩn HSK 1 - Sách Bài Học Và Bài Tập (Bộ 2 Cuốn) (Tái Bản 2023),261.660,356.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/combo-sach-giao-trinh-chuan-hsk-1-sach-bai-tap-giao-trinh-chuan-hsk-1-bo-2-cuon-tai-ban-2023.html,https://cdn0.fahasa.com/media/catalog/product/5/1/51b92528-97f4-4150-a761-c6cff5a60d98.jpg,26.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">26%</span></div>",,,
simple,simple,527700,"""Chém"" Tiếng Anh Không Cần Động Não - Tặng Kèm Bộ Video Luyện Nghe-Nói + Sổ Học Từ Vựng",126.750,169.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/chem-tieng-anh-khong-can-dong-nao-tang-kem-bo-video-luyen-nghe-noi-so-hoc-tu-vung.html,https://cdn0.fahasa.com/media/catalog/product/c/h/chemta-bino_bia1.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",,,
simple,simple,426074,Giáo Trình Chuẩn HSK 2 - Bài Học,148.500,198.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-hsk-2-bai-hoc.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043775679_1.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 2,,
simple,simple,346700,Giáo Trình Chuẩn HSK 2 - Sách Bài Tập (Tái Bản 2021),141.000,188.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",,https://www.fahasa.com/giao-trinh-chuan-hsk-2-sach-bai-tap-346700.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_223258.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 2,,
simple,simple,458128,Giáo Trình Chuẩn HSK 3 (Tái Bản 2023),216.000,288.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-hsk-3-tai-ban-2023.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043356380_1.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 3,,
series,series,362134,Giáo Trình Chuẩn Hsk,,,,,https://www.fahasa.com/seriesbook-index-series-id-10122.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043356380_1.jpg,,,Tập mới nhất: 5.2,10122,4143
simple,simple,394397,Giáo Trình Chuẩn HSK 3 - Sách Bài Tập,141.000,188.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",,https://www.fahasa.com/giao-trinh-chuan-hsk-3-sach-bai-tap-tb2022.html,https://cdn0.fahasa.com/media/catalog/product/9/7/9786043128734.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 3,,
simple,simple,264323,Giáo Trình Chuẩn YCT 1 (CD),103.500,138.000,"<div class='desktop_only ratings'>
							    <div class='rating-box'>
								<div class='rating' style='width:0%'></div>
							    </div>
						    </div><div class='mobile_only fhs_center_left margin_top_small '><div class='icon-star deactive'></div><div class='rating-links'>0</div></div>",0,https://www.fahasa.com/giao-trinh-chuan-yct-1-cd.html,https://cdn0.fahasa.com/media/catalog/product/i/m/image_195509_1_11579.jpg,25.0,"<div class=""label-pro-sale m-label-pro-sale""><span class=""p-sale-label discount-l-fs"">25%</span></div>",Tập 1,,
